kd,p_AS_rank,p_EU_rank,p_NA_rank,p_currentmmr,p_currentrank,p_headshotacc,p_id,p_level,p_name,p_platform,p_skillrating,p_user,position,verified
118,0,0,20,5234,20,57960000,e36525d8-7005-4ad5-a401-8db3e7ca3bbd,313,Nyx.DZ,uplay,9633,e36525d8-7005-4ad5-a401-8db3e7ca3bbd,57,0
139,0,0,20,5234,20,39790000,7b705ca0-8e2d-402a-b5c6-7aba6062cafb,222,Mango.-.,uplay,9610,7b705ca0-8e2d-402a-b5c6-7aba6062cafb,58,0
169,0,15,20,5233,20,44400000,1ef8ea85-8b24-442e-bada-904dab88131a,172,WaIIing,uplay,10148,1ef8ea85-8b24-442e-bada-904dab88131a,59,0
129,0,19,20,5231,20,45880000,f67508fb-fd32-414e-8c8c-e1dff7b2eb92,509,KingGeorge.,uplay,9348,f67508fb-fd32-414e-8c8c-e1dff7b2eb92,60,1
123,0,15,20,5226,20,41260000,ce392b24-3c99-4abe-b97e-229fc1adf416,341,Goddess.sQ,uplay,9502,ce392b24-3c99-4abe-b97e-229fc1adf416,61,1
146,0,13,20,5225,20,48930000,318fdcb7-2a06-40f6-9d9b-32b65935f3f9,229,RUSTY-GOAT,uplay,9777,318fdcb7-2a06-40f6-9d9b-32b65935f3f9,62,0
121,17,0,20,5222,20,46750000,0ed1b1a0-d2f6-4062-bafd-0194f58cde02,264,FataI.,uplay,9472,0ed1b1a0-d2f6-4062-bafd-0194f58cde02,63,0
145,0,0,20,5220,20,55430000,d1a1255a-14f4-4ec3-b8fc-0cec8b690718,317,Sweater.SiN,uplay,9795,d1a1255a-14f4-4ec3-b8fc-0cec8b690718,64,0
156,0,3,20,5219,20,47650000,7945eda8-3803-47e4-bec3-e5a22b97ea14,319,iDrooPz.SG,uplay,10570,7945eda8-3803-47e4-bec3-e5a22b97ea14,65,0
169,0,0,20,5218,20,46450000,6be6182e-fc19-4dcb-8cfd-93e1cf9a6cdc,178,soulz1,uplay,9874,6be6182e-fc19-4dcb-8cfd-93e1cf9a6cdc,66,0
134,0,0,20,5206,20,38820000,a73cf39b-cb9f-410b-a5c2-6b39ae4a3dfd,264,StorMz.PkP,uplay,9755,a73cf39b-cb9f-410b-a5c2-6b39ae4a3dfd,67,0
